,test_run-1,test_run-2,test_run-3,test_run-4,test_run-5,test_run-6,test_run-7,test_run-8,test_run-9,test_run-10,test_run-11,test_run-12,test_run-13,test_run-14,test_run-15,test_run-16,test_run-17,test_run-18,test_run-19,test_run-20,test_run-21,test_run-22,test_run-23,test_run-24,test_run-25,test_run-26,test_run-27,test_run-28,test_run-29,test_run-30,test_run-31,test_run-32,test_run-33,test_run-34,test_run-35,test_run-36,test_run-37,test_run-38,test_run-39,test_run-40,test_run-41,test_run-42,test_run-43,test_run-44,test_run-45,test_run-46,test_run-47,test_run-48,test_run-49,test_run-50,test_run-51,test_run-52
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2035]",-0.155686868,-0.142979167,0.053858334,-0.079674795,-0.052991912,-0.451224872,0.076017723,0.374717911,-0.051683169,0.123928448,0.102331248,-0.049458935,0.462470398,-0.155686868,0.290903938,0.141335059,0.190112157,-0.169099694,0.402230109,-0.153983818,-0.209625343,-0.418366984,-0.142835587,-0.187093257,0.008491766,0.399485875,-0.453329816,-0.142979167,-0.079722686,0.402044205,0.348841095,-0.014767601,-0.318436526,-0.367664756,-0.052897456,0.491732681,-0.090756163,-0.09910058,-0.148687823,-0.286646285,-0.068252897,0.262744787,0.213376212,-0.028281748,-0.210486692,0.492380867,0.405491616,-0.480181944,-0.168883539,-0.481189786,-0.237702096,-0.496912579
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2021]",0.466100865,-0.473392782,-0.070672367,-0.397622337,-0.310177125,-0.431937038,-0.484902456,0.404859052,0.191063878,-0.296745883,-0.288917789,0.461680718,0.26356818,0.466100865,0.359190639,-0.177170331,0.407904546,-0.05365289,0.164295863,-0.350019509,0.389888445,0.335014868,0.140581645,-0.214078191,0.235982891,-0.276060056,0.429094904,-0.473392782,-0.451608519,0.16630792,-0.183688882,0.445971249,-0.210062665,0.310574078,-0.385345113,0.477727516,-0.194085821,0.106439579,0.212740513,0.046418377,0.018761009,-0.037525164,-0.139697037,-0.465144229,-0.26131499,0.104609804,-0.342718135,0.066418569,0.447334681,-0.434774691,-0.420130853,-0.48040067
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2030]",-0.14230022,0.287476272,-0.021436192,0.338665739,0.461412088,0.019242711,-0.335532978,-0.144001179,0.343292872,0.126259526,-0.259428356,0.0057253,0.271473384,-0.14230022,0.236501658,-0.454703985,-0.329632372,0.41956424,0.456046193,0.272109369,-0.043109885,-0.079900664,0.065452784,-0.420731736,-0.356839569,0.486501904,-0.495136196,0.287476272,-0.266666245,-0.133099683,0.246061196,-0.138776752,0.47774799,-0.254401789,0.299257346,-0.427235129,-0.223794469,0.147317177,0.000311251,-0.09966636,0.390483386,-0.150649094,0.017425659,-0.483468761,-0.204793293,-0.4103858,0.388067606,0.090567031,0.41239773,-0.073440347,-0.277376641,-0.283130137
"V_NewCapacity[ON,C_SPHC_HP_GEO-NEW,2025]",0.456628515,0.205874707,-0.066849311,0.472210264,0.039979274,-0.14212303,-0.463758698,0.296139523,-0.490571443,-0.305986617,0.367937512,0.417232241,-0.419552735,0.456628515,0.315166669,0.071178877,-0.214662548,-0.237618091,-0.295943084,0.135837944,-0.228558962,0.47549497,0.274726962,-0.446541125,0.286877423,0.201733787,0.360279897,0.205874707,0.274163766,-0.274981101,-0.13866443,-0.151641468,-0.169708435,0.055115571,-0.349551774,0.058810356,-0.233460487,-0.401137245,-0.315602008,-0.430336404,-0.434095826,0.379535223,0.221814225,-0.2932826,0.438273742,0.476598282,-0.459404156,-0.109448364,0.446842814,-0.020864857,0.420566506,0.421084551
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2040]",0.142341466,0.029457158,-0.133756209,-0.344677102,0.216768467,0.337737185,-0.312199329,0.003049579,0.25940387,0.401839334,0.424738673,-0.298540846,0.240742413,0.142341466,0.127431951,-0.351226303,-0.143857472,-0.481174271,-0.492968052,-0.484778723,-0.139201357,0.164624655,0.152160281,0.435236222,-0.147050689,-0.305453811,-0.444739679,0.029457158,-0.174500998,-0.319187725,0.292305443,0.350009142,0.352704187,-0.088730027,0.393418987,-0.291568296,-0.127130018,0.002290742,-0.456280803,-0.113052786,0.206311219,-0.020932704,0.075960128,0.334007757,-0.265283076,-0.401338751,-0.337947818,0.006268956,0.213984028,0.265972955,-0.043719043,0.22886933
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2035]",0.039014931,0.296934947,-0.037573896,0.307665648,0.488779788,-0.121966423,0.438961393,-0.090972769,0.251567887,-0.174994301,-0.020109495,0.093698313,-0.441500824,0.039014931,0.30661043,0.436385089,-0.34940762,0.10602434,0.038042958,0.4202551,-0.406441805,0.269734337,-0.20308532,0.497012313,0.369703161,0.379386159,-0.254571046,0.296934947,-0.42216651,-0.017544796,-0.462254402,0.028482576,0.275824904,-0.240801541,-0.387158351,-0.018812461,-0.139407699,0.328860846,-0.08860418,-0.327440232,-0.256619501,-0.179054275,0.232461914,-0.016117382,-0.06420273,0.411625445,-0.121032655,-0.255778912,0.452233802,-0.321225211,0.342245286,0.435022334
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2021]",0.469865611,-0.4990751,0.399601815,-0.129328253,-0.409162708,-0.29947461,-0.124836117,-0.117892604,-0.436518097,-0.335958709,-0.055645988,-0.39315909,-0.273555996,0.469865611,-0.042798675,0.23137494,-0.172429838,0.206857118,-0.426732389,-0.385924238,-0.025000681,0.489965141,-0.393904113,0.344033925,0.412625074,-0.333198222,0.211457701,-0.4990751,0.008124417,0.329891762,-0.449473873,0.062358336,0.123216951,-0.48726501,-0.096020613,0.436217461,-0.445327387,-0.385077318,-0.134126087,0.486253377,-0.420636576,-0.142800486,-0.429938944,-0.487279942,0.455952088,-0.105296964,0.314794826,0.100690755,-0.495146345,0.372925863,0.265219129,-0.160130211
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2030]",0.349489657,0.490977449,-0.011602935,-0.145545997,-0.149894312,-0.1708672,-0.314444782,-0.357124423,0.44269764,-0.226597647,0.008982419,-0.257938093,-0.152764327,0.349489657,-0.03911074,-0.381939005,-0.251789415,-0.472587602,-0.42600955,-0.093410381,0.429550125,0.15930947,0.353778452,-0.231384746,0.046741225,-0.363331939,-0.341429749,0.490977449,-0.083764722,0.164536777,-0.182249259,0.209315816,-0.40631601,0.00029087,-0.212754859,-0.321356218,0.420265851,0.120056768,-0.081498393,0.239004923,0.233431634,-0.006032249,0.451877852,0.028461677,0.317161968,-0.035522887,-0.195890766,-0.459378207,0.475131184,0.175333407,0.009214515,0.497267276
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2025]",-0.361740505,0.379288006,-0.083104299,-0.384814711,0.073921863,0.406976691,-0.195487255,0.41908346,-0.420063695,-0.275348626,-0.479263164,0.348340721,-0.118335232,-0.361740505,-0.014190735,-0.422373786,0.16009306,0.107797,-0.004139811,-0.449761059,0.442548391,0.343788883,-0.032166901,0.495455985,-0.088739027,-0.219900591,0.070048858,0.379288006,0.480701512,0.111598335,-0.25228736,0.20193167,-0.265295833,-0.105798261,0.316136377,-0.177463204,-0.233867231,0.436596078,0.24712238,0.088721572,-0.059686088,-0.469489508,-0.16102947,-0.024174245,0.265550728,-0.455443677,-0.02866085,0.47867567,-0.028622001,-0.035312355,-0.1696298,-0.126083573
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2050]",-0.326158415,-0.127305463,-0.11005515,0.27870822,0.016665004,-0.080002913,0.32065963,-0.135593594,0.100505865,-0.391530482,-0.297129606,0.249738405,-0.451956215,-0.326158415,-0.003175112,-0.063361851,-0.182184476,0.220675885,0.228528388,0.417202643,0.048971776,-0.013280294,-0.156386514,-0.123099135,-0.445936623,-0.43760007,0.358930087,-0.127305463,-0.016364863,-0.082146757,0.081358657,0.211943854,0.340960777,0.257983742,0.485410579,-0.24354722,0.142282726,0.10671923,-0.175879655,0.396805298,-0.178140009,-0.040984194,0.449661162,0.343594259,-0.3019289,-0.276886346,-0.170934378,0.488371137,-0.162832147,-0.279601016,-0.478823439,-0.216489976
"V_NewCapacity[ON,C_SPH_ELC_BLR-NEW,2045]",0.364373192,-0.07356872,0.036497511,-0.217120939,-0.063104243,-0.427609521,0.20265573,-0.164528622,-0.120253569,0.372756744,-0.067111304,0.380889937,-0.443057304,0.364373192,-0.260344874,-0.208622172,-0.141958338,0.032863314,-0.287104847,0.324316409,-0.196557521,0.141131118,-0.175207872,0.401560018,0.344553944,0.172124505,0.485295396,-0.07356872,0.427212895,0.153475811,-0.492704383,-0.176055083,0.046942926,-0.443535097,-0.165194349,0.326335608,-0.245337823,0.369464554,-0.044060051,0.165480468,0.274815836,-0.234591468,0.264435376,-0.423703737,0.013320912,0.019399522,0.039056419,0.480043854,0.288028955,0.180514678,-0.088256317,-0.042574017
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2050]",0.038774415,0.291857647,0.178115444,0.084992041,-0.151712322,-0.253655502,0.207796776,-0.21893022,-0.439416325,-0.200433697,0.308586231,0.220320725,0.23516518,0.038774415,-0.218298575,-0.49132313,0.087166886,0.002587822,-0.157753271,-0.126344651,0.248971835,0.44191767,0.304211858,-0.4726862,0.138468519,-0.021564527,0.252708816,0.291857647,0.146791411,-0.046962003,-0.277186551,0.080943245,0.365977885,-0.309170112,0.416092096,0.42621591,0.164446084,-0.316727749,-0.101617893,0.342867132,0.206244132,-0.291348206,-0.046082683,-0.418070509,-0.169162048,0.409773624,0.391854154,0.253449012,-0.168169733,-0.330900348,0.162561274,-0.497041342
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2045]",-0.289308223,0.113760446,-0.208062238,0.259145808,-0.238124642,-0.318383305,0.317499577,-0.347039951,0.350290037,0.326910565,-0.269843589,0.023526041,-0.203384663,-0.289308223,0.220732485,0.061640983,0.21107501,-0.339421812,0.457056442,-0.001298476,-0.082835602,0.14754385,-0.348479359,-0.28005189,0.19523021,0.092818576,0.179841087,0.113760446,0.257369028,0.026965508,-0.346466646,-0.10239829,0.360516178,-0.143196164,-0.472006741,0.453306517,0.0051686,0.200813558,0.394489716,-0.087259322,0.368093562,-0.495630479,0.091564485,0.152339417,-0.444312808,0.378041161,-0.122049087,-0.447824485,-0.476333301,-0.347028905,-0.42834507,0.05874158
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2040]",-0.191247377,0.285525206,-0.057108141,-0.206096282,0.306874878,-0.384343414,-0.381740103,-0.36922274,-0.218478192,0.258335869,-0.30860846,0.321474833,0.279147441,-0.191247377,0.490014444,-0.420605178,-0.192934326,-0.31226569,-0.103051782,0.337254889,-0.168528555,0.386791603,-0.423900075,-0.488378529,0.00137249,-0.187592218,-0.342572185,0.285525206,0.259701952,0.151631696,-0.167184832,0.136724929,0.051912297,-0.193784433,-0.041924125,-0.078488192,-0.217718285,-0.249835814,-0.437184747,0.102549103,-0.329567161,-0.168011337,0.425142345,-0.345479038,0.240121129,0.426983134,-0.019038492,-0.070478363,-0.384522794,-0.267398941,-0.389908473,-0.376526713
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2035]",-0.288395029,-0.208938633,-0.348717067,0.400772121,0.330933666,-0.061309065,-0.099397759,0.022513582,0.125169855,-0.276365124,-0.418138441,0.135987898,-0.105661567,-0.288395029,-0.210142982,0.186715868,0.23855528,0.425761356,-0.406497927,0.43691928,0.340139419,0.31588343,-0.40951215,0.086684758,0.069482571,-0.020341294,0.028338399,-0.208938633,0.230410387,-0.041762031,0.230322605,0.15831582,0.465377577,-0.493195733,0.387532986,0.386803757,0.071358638,0.387082164,0.263316397,-0.475098445,-0.419912252,0.322742379,-0.421898432,-0.340953586,0.23948668,0.245567526,-0.138502009,-0.223568865,0.013077614,0.146916697,-0.289531373,-0.427217635
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2021]",-0.022700091,-0.159739519,-0.463998204,0.241259238,-0.122737784,-0.229159335,0.289753304,-0.23808312,-0.147057902,0.179798751,-0.296537264,-0.093053594,0.302867798,-0.022700091,-0.234485198,-0.150605491,0.421444572,0.272082862,-0.176302032,0.439521683,0.390202709,0.300100904,-0.115511663,0.449061211,-0.422606302,0.035165698,-0.033958735,-0.159739519,-0.226342558,-0.408022322,0.229312506,-0.20868094,0.483074971,0.289463916,-0.073074548,0.140363094,-0.265206957,0.477967513,-0.405559024,0.317079961,0.122398346,-0.337049773,0.425574722,-0.101273311,0.047281476,0.496833592,-0.114584626,0.416744705,-0.128980852,-0.465271399,-0.16279767,-0.224923341
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2030]",0.20785665,-0.14192947,-0.213743366,0.337791902,-0.465509874,-0.436742999,0.458409036,-0.360853201,-0.053802537,0.250073829,-0.471642496,0.451390547,-0.494938742,0.20785665,0.050778623,0.456615104,0.186860863,-0.486803213,0.244934385,-0.290517518,-0.318800836,0.219145255,-0.038835087,0.476986958,0.02853786,-0.174593366,0.355605196,-0.14192947,-0.10648921,0.148779499,-0.330654876,-0.368295534,-0.141057265,0.046233885,-0.132941259,0.38826359,0.162866966,-0.014875917,0.223123031,-0.035090297,-0.401101636,-0.44034374,-0.473625142,0.176383029,-0.055569522,-0.416997734,0.171037588,-0.407781252,-0.28026155,0.182262238,-0.242725869,-0.038306105
"V_NewCapacity[ON,C_SPH_ELC_RES-NEW,2025]",-0.217226709,-0.134801167,-0.404114248,-0.341520682,-0.024923999,0.46990961,0.12805878,-0.251133539,0.397469045,0.061295112,-0.281635893,-0.137513802,0.358049453,-0.217226709,-0.295786612,-0.294295033,-0.217454892,-0.003433395,0.174775478,0.47269588,0.247268386,0.361412914,-0.300952474,0.017929756,0.046610548,-0.196463446,0.413301178,-0.134801167,0.120808966,0.258838228,0.112461832,0.212889106,-0.394660901,-0.097655194,-0.034314652,0.261704821,0.360721455,-0.092078787,0.140406458,-0.341690302,0.038666223,0.357302597,-0.107590471,-0.470326364,0.007857906,0.454614414,0.483680198,0.116003391,-0.034468021,-0.168216383,0.334892501,-0.105261863
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2050]",-0.182577556,-0.082053106,0.321575208,-0.243712137,-0.446545158,0.301628715,-0.239041474,0.216654238,0.276811707,-0.373596424,0.176046492,0.452320921,0.030568055,-0.182577556,0.239105617,-0.481273796,0.42592882,-0.201922529,-0.18218843,0.430117861,-0.498335875,-0.414787612,-0.189594236,0.049610434,0.132920591,-0.496023244,0.260708862,-0.082053106,0.414082704,-0.4603866,0.49989791,-0.479587256,0.176961547,-0.087070878,-0.122895004,-0.491206084,-0.137427594,0.388134012,0.062508134,0.016623472,0.241133477,-0.301539619,-0.098102632,0.120959408,-0.255439563,0.106294136,0.182087417,-0.219779733,0.246447324,0.116523639,-0.271959057,-0.428471977
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2045]",-0.364228526,-0.168225566,0.158290037,-0.078811865,-0.195373643,0.346961353,-0.145950024,-0.317396206,0.432013392,-0.281698507,0.48122414,0.062793924,0.093543116,-0.364228526,-0.174324031,-0.485428223,0.487052684,0.498065089,0.482485622,-0.114092327,-0.064594812,-0.268389601,0.285075624,0.444794829,0.287060508,0.038515792,-0.327707674,-0.168225566,-0.340620507,-0.395329459,0.273857686,0.261429237,0.165726867,0.443791136,-0.270154862,0.499903144,-0.354503376,0.095660708,-0.211238499,0.314273201,0.481320962,0.07804227,0.434221819,0.045157,-0.448567555,0.39948501,-0.214491933,0.367902884,-0.315305119,-0.061360182,0.370225726,-0.3157618
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2040]",0.084147603,-0.043382071,-0.331865045,-0.339245314,-0.166524377,0.028418614,-0.20621792,-0.493159733,-0.481322294,-0.393689789,-0.495774615,-0.139248895,-0.357884837,0.084147603,0.363794231,-0.296722918,-0.054985963,0.473669572,-0.368361396,0.242951803,0.445628912,-0.225842497,-0.496286313,-0.395802744,-0.037715074,-0.486555032,-0.206087136,-0.043382071,0.4412244,0.364794447,0.305753912,-0.14892756,0.098993526,-0.038598647,-0.364089723,0.432951901,-0.077922717,0.13734517,-0.350932337,-0.082793557,0.441643828,-0.16727611,-0.367721593,0.48608756,0.477376013,0.300748781,-0.328694093,0.429451832,0.467589975,-0.405669907,0.495239537,0.472965072
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2035]",0.424095932,0.298150272,-0.486707515,-0.382908072,0.109873959,0.176438108,-0.080093499,0.029330749,-0.248492592,0.15036755,0.21402993,-0.492739733,-0.309758705,0.424095932,-0.168897258,0.144841934,-0.152853189,0.454121228,0.449322885,-0.486989195,-0.247011649,-0.062216183,0.120266155,0.274970852,0.470230507,-0.049157637,-0.002426784,0.298150272,0.476860136,-0.291885686,-0.47716898,0.178802261,0.49516719,-0.129612247,-0.203822848,0.243365968,0.188665615,0.330179443,-0.290412246,0.096746546,0.19014541,0.497931332,0.174574461,0.103330775,-0.320935002,-0.20194614,0.199727214,0.489987526,0.075493029,-0.219571728,-0.191112684,-0.190707544
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2021]",0.193584579,-0.260648494,0.050303458,-0.364436818,0.481919866,-0.475742882,0.448697923,-0.07105828,-0.319292385,0.421108435,0.170485839,-0.047185682,0.499881995,0.193584579,0.085564966,0.212026307,0.016330118,-0.110641406,-0.327841689,-0.028439182,0.047765464,0.238689532,0.417759308,0.398584887,0.177834856,0.463548009,-0.079589768,-0.260648494,0.199886528,0.35313405,-0.444196422,-0.458827956,0.059636095,0.485807126,0.244980845,0.416999662,0.347000243,-0.147842861,0.080991896,0.0076885,0.062955045,-0.251890011,-0.112842665,-0.020098151,-0.113403625,0.013819241,0.471277026,0.079548616,0.290554682,0.223859703,-0.10807955,-0.292125966
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2030]",-0.164787281,0.018665348,-0.15948813,-0.366884452,0.132644213,0.25347498,0.432061415,0.252153375,-0.411835786,0.283432268,-0.452599022,0.498937663,0.410389107,-0.164787281,-0.460829715,0.180900011,-0.127262849,0.069974998,0.037708144,-0.308209268,-0.115975123,-0.170313526,0.144888649,-0.385669532,-0.212640364,-0.373763984,0.206232335,0.018665348,0.157941371,0.23803829,0.001320584,-0.139175799,0.161299633,-0.059483399,0.077081385,0.331321993,0.130834377,0.280066493,-0.353869208,0.126038757,-0.361407519,-0.453770537,-0.165907176,0.283097178,-0.209973834,-0.019408036,0.182697978,-0.220241774,-0.247192509,0.200527038,0.329098951,0.381834264
"V_NewCapacity[ON,C_SPH_NG_FRN-NEW,2025]",0.114281458,-0.306580446,0.201467469,0.140606462,0.007568706,-0.073827203,0.001530722,-0.31280214,-0.017329404,-0.453399997,0.463776981,-0.428865988,0.24612604,0.114281458,-0.174272462,-0.188699177,-0.386150182,-0.086986964,0.26055937,0.005838284,-0.480381473,-0.084831128,-0.112110427,-0.078190302,0.134235836,-0.153020342,0.299916724,-0.306580446,0.17507658,0.067311506,0.331696988,0.479079188,0.41384645,-0.448242939,-0.048824209,-0.350528279,0.327425528,0.397948526,-0.186647522,0.063950501,0.137149686,-0.105289083,0.494509599,-0.343047514,0.193896252,0.131354988,-0.060086074,-0.496865189,0.243862858,0.387103058,-0.047000809,-0.002803627
