run,param,index,mod,value,notes
0,MaxCapacityGroup,ON|2030|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2030|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2035|F_H2_ELEC-ANY,s,0.125,
0,MaxCapacityGroup,ON|2035|F_H2_ELEC-GRID,s,0,
0,MaxCapacityGroup,ON|2035|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2035|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2040|F_H2_ELEC-ANY,s,0.25,
0,MaxCapacityGroup,ON|2040|F_H2_ELEC-GRID,s,0,
0,MaxCapacityGroup,ON|2040|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2040|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2045|F_H2_ELEC-ANY,s,0.375,
0,MaxCapacityGroup,ON|2045|F_H2_ELEC-GRID,s,0,
0,MaxCapacityGroup,ON|2045|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2045|F_H2_ELEC-WND,s,0,
0,MaxCapacityGroup,ON|2050|F_H2_ELEC-ANY,s,0.5,
0,MaxCapacityGroup,ON|2050|F_H2_ELEC-GRID,s,0,
0,MaxCapacityGroup,ON|2050|F_H2_ELEC-SOL,s,0,
0,MaxCapacityGroup,ON|2050|F_H2_ELEC-WND,s,0,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
0,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,TechInputSplit,ON|2021|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2025|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2030|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2035|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2040|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2045|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2050|F_H2_ELEC-SOL|*,s,0,
1,TechInputSplit,ON|2021|F_H2_ELEC-WND|*,s,0,
1,TechInputSplit,ON|2025|F_H2_ELEC-WND|*,s,0,
1,TechInputSplit,ON|2030|F_H2_ELEC-WND|*,s,0,
1,TechInputSplit,ON|2035|F_H2_ELEC-WND|*,s,0,
1,TechInputSplit,ON|2040|F_H2_ELEC-WND|*,s,0,
1,TechInputSplit,ON|2045|F_H2_ELEC-WND|*,s,0,
1,TechInputSplit,ON|2050|F_H2_ELEC-WND|*,s,0,
1,TechOutputSplit,ON|2021|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2025|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2030|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2035|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2040|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2045|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2050|F_SOL_PV-H2|*,s,0,
1,TechOutputSplit,ON|2021|F_WND_ON-H2|*,s,0,
1,TechOutputSplit,ON|2025|F_WND_ON-H2|*,s,0,
1,TechOutputSplit,ON|2030|F_WND_ON-H2|*,s,0,
1,TechOutputSplit,ON|2035|F_WND_ON-H2|*,s,0,
1,TechOutputSplit,ON|2040|F_WND_ON-H2|*,s,0,
1,TechOutputSplit,ON|2045|F_WND_ON-H2|*,s,0,
1,TechOutputSplit,ON|2050|F_WND_ON-H2|*,s,0,
1,Efficiency,ON|*|F_H2_ELEC-GRID|*|*,s,0.5,
1,Efficiency,ON|*|F_H2_ELEC-SOL|*|*,s,0.5,
1,Efficiency,ON|*|F_H2_ELEC-WND|*|*,s,0.5,
1,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.2,
1,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.2,
1,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.2,
1,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.2,
1,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.2,
1,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.2,
1,MinCapacityGroup,ON|2021|F_H2_ELEC-ANY,s,0,
1,MinCapacityGroup,ON|2021|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2021|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2021|F_H2_ELEC-WND,s,0,
1,MinCapacityGroup,ON|2025|F_H2_ELEC-ANY,s,0,
1,MinCapacityGroup,ON|2025|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2025|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2025|F_H2_ELEC-WND,s,0,
1,MinCapacityGroup,ON|2030|F_H2_ELEC-ANY,s,0,
1,MinCapacityGroup,ON|2030|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2030|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2030|F_H2_ELEC-WND,s,0,
1,MinCapacityGroup,ON|2035|F_H2_ELEC-ANY,s,0.125,
1,MinCapacityGroup,ON|2035|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2035|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2035|F_H2_ELEC-WND,s,0,
1,MinCapacityGroup,ON|2040|F_H2_ELEC-ANY,s,0.25,
1,MinCapacityGroup,ON|2040|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2040|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2040|F_H2_ELEC-WND,s,0,
1,MinCapacityGroup,ON|2045|F_H2_ELEC-ANY,s,0.375,
1,MinCapacityGroup,ON|2045|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2045|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2045|F_H2_ELEC-WND,s,0,
1,MinCapacityGroup,ON|2050|F_H2_ELEC-ANY,s,0.5,
1,MinCapacityGroup,ON|2050|F_H2_ELEC-GRID,s,0,
1,MinCapacityGroup,ON|2050|F_H2_ELEC-SOL,s,0,
1,MinCapacityGroup,ON|2050|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2021|F_H2_ELEC-ANY,s,0,
1,MaxCapacityGroup,ON|2021|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2021|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2021|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2025|F_H2_ELEC-ANY,s,0,
1,MaxCapacityGroup,ON|2025|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2025|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2025|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2030|F_H2_ELEC-ANY,s,0,
1,MaxCapacityGroup,ON|2030|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2030|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2030|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2035|F_H2_ELEC-ANY,s,0.125,
1,MaxCapacityGroup,ON|2035|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2035|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2035|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2040|F_H2_ELEC-ANY,s,0.25,
1,MaxCapacityGroup,ON|2040|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2040|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2040|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2045|F_H2_ELEC-ANY,s,0.375,
1,MaxCapacityGroup,ON|2045|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2045|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2045|F_H2_ELEC-WND,s,0,
1,MaxCapacityGroup,ON|2050|F_H2_ELEC-ANY,s,0.5,
1,MaxCapacityGroup,ON|2050|F_H2_ELEC-GRID,s,0,
1,MaxCapacityGroup,ON|2050|F_H2_ELEC-SOL,s,0,
1,MaxCapacityGroup,ON|2050|F_H2_ELEC-WND,s,0,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
1,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,TechInputSplit,ON|2021|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2025|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2030|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2035|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2040|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2045|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2050|F_H2_ELEC-SOL|*,s,0,
2,TechInputSplit,ON|2021|F_H2_ELEC-WND|*,s,0,
2,TechInputSplit,ON|2025|F_H2_ELEC-WND|*,s,0,
2,TechInputSplit,ON|2030|F_H2_ELEC-WND|*,s,0,
2,TechInputSplit,ON|2035|F_H2_ELEC-WND|*,s,0,
2,TechInputSplit,ON|2040|F_H2_ELEC-WND|*,s,0,
2,TechInputSplit,ON|2045|F_H2_ELEC-WND|*,s,0,
2,TechInputSplit,ON|2050|F_H2_ELEC-WND|*,s,0,
2,TechOutputSplit,ON|2021|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2025|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2030|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2035|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2040|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2045|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2050|F_SOL_PV-H2|*,s,0,
2,TechOutputSplit,ON|2021|F_WND_ON-H2|*,s,0,
2,TechOutputSplit,ON|2025|F_WND_ON-H2|*,s,0,
2,TechOutputSplit,ON|2030|F_WND_ON-H2|*,s,0,
2,TechOutputSplit,ON|2035|F_WND_ON-H2|*,s,0,
2,TechOutputSplit,ON|2040|F_WND_ON-H2|*,s,0,
2,TechOutputSplit,ON|2045|F_WND_ON-H2|*,s,0,
2,TechOutputSplit,ON|2050|F_WND_ON-H2|*,s,0,
2,Efficiency,ON|*|F_H2_ELEC-GRID|*|*,s,0.5,
2,Efficiency,ON|*|F_H2_ELEC-SOL|*|*,s,0.5,
2,Efficiency,ON|*|F_H2_ELEC-WND|*|*,s,0.5,
2,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.3,
2,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.3,
2,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.3,
2,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.3,
2,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.3,
2,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.3,
2,MinCapacityGroup,ON|2021|F_H2_ELEC-ANY,s,0,
2,MinCapacityGroup,ON|2021|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2021|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2021|F_H2_ELEC-WND,s,0,
2,MinCapacityGroup,ON|2025|F_H2_ELEC-ANY,s,0,
2,MinCapacityGroup,ON|2025|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2025|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2025|F_H2_ELEC-WND,s,0,
2,MinCapacityGroup,ON|2030|F_H2_ELEC-ANY,s,0,
2,MinCapacityGroup,ON|2030|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2030|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2030|F_H2_ELEC-WND,s,0,
2,MinCapacityGroup,ON|2035|F_H2_ELEC-ANY,s,0.125,
2,MinCapacityGroup,ON|2035|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2035|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2035|F_H2_ELEC-WND,s,0,
2,MinCapacityGroup,ON|2040|F_H2_ELEC-ANY,s,0.25,
2,MinCapacityGroup,ON|2040|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2040|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2040|F_H2_ELEC-WND,s,0,
2,MinCapacityGroup,ON|2045|F_H2_ELEC-ANY,s,0.375,
2,MinCapacityGroup,ON|2045|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2045|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2045|F_H2_ELEC-WND,s,0,
2,MinCapacityGroup,ON|2050|F_H2_ELEC-ANY,s,0.5,
2,MinCapacityGroup,ON|2050|F_H2_ELEC-GRID,s,0,
2,MinCapacityGroup,ON|2050|F_H2_ELEC-SOL,s,0,
2,MinCapacityGroup,ON|2050|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2021|F_H2_ELEC-ANY,s,0,
2,MaxCapacityGroup,ON|2021|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2021|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2021|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2025|F_H2_ELEC-ANY,s,0,
2,MaxCapacityGroup,ON|2025|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2025|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2025|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2030|F_H2_ELEC-ANY,s,0,
2,MaxCapacityGroup,ON|2030|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2030|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2030|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2035|F_H2_ELEC-ANY,s,0.125,
2,MaxCapacityGroup,ON|2035|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2035|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2035|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2040|F_H2_ELEC-ANY,s,0.25,
2,MaxCapacityGroup,ON|2040|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2040|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2040|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2045|F_H2_ELEC-ANY,s,0.375,
2,MaxCapacityGroup,ON|2045|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2045|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2045|F_H2_ELEC-WND,s,0,
2,MaxCapacityGroup,ON|2050|F_H2_ELEC-ANY,s,0.5,
2,MaxCapacityGroup,ON|2050|F_H2_ELEC-GRID,s,0,
2,MaxCapacityGroup,ON|2050|F_H2_ELEC-SOL,s,0,
2,MaxCapacityGroup,ON|2050|F_H2_ELEC-WND,s,0,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-GRID,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-SOL,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
2,MaxCapacity,ON|*|F_H2_ELEC-WND,s,100,
3,TechInputSplit,ON|2021|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2025|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2030|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2035|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2040|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2045|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2050|F_H2_ELEC-SOL|*,s,0,
3,TechInputSplit,ON|2021|F_H2_ELEC-WND|*,s,0,
3,TechInputSplit,ON|2025|F_H2_ELEC-WND|*,s,0,
3,TechInputSplit,ON|2030|F_H2_ELEC-WND|*,s,0,
3,TechInputSplit,ON|2035|F_H2_ELEC-WND|*,s,0,
3,TechInputSplit,ON|2040|F_H2_ELEC-WND|*,s,0,
3,TechInputSplit,ON|2045|F_H2_ELEC-WND|*,s,0,
3,TechInputSplit,ON|2050|F_H2_ELEC-WND|*,s,0,
3,TechOutputSplit,ON|2021|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2025|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2030|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2035|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2040|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2045|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2050|F_SOL_PV-H2|*,s,0,
3,TechOutputSplit,ON|2021|F_WND_ON-H2|*,s,0,
3,TechOutputSplit,ON|2025|F_WND_ON-H2|*,s,0,
3,TechOutputSplit,ON|2030|F_WND_ON-H2|*,s,0,
3,TechOutputSplit,ON|2035|F_WND_ON-H2|*,s,0,
3,TechOutputSplit,ON|2040|F_WND_ON-H2|*,s,0,
3,TechOutputSplit,ON|2045|F_WND_ON-H2|*,s,0,
3,TechOutputSplit,ON|2050|F_WND_ON-H2|*,s,0,
3,Efficiency,ON|*|F_H2_ELEC-GRID|*|*,s,0.5,
3,Efficiency,ON|*|F_H2_ELEC-SOL|*|*,s,0.5,
3,Efficiency,ON|*|F_H2_ELEC-WND|*|*,s,0.5,
3,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.4,
3,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.4,
3,MinAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.4,
3,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-GRID|*,s,0.4,
3,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-SOL|*,s,0.4,
3,MaxAnnualCapacityFactor,ON|*|F_H2_ELEC-WND|*,s,0.4,
